"","SampleID","id_fixed","sample_input_complete","SampleName","StudyID","ProjectID","Biosample","Accession_Number","GOLD_analysis_projectID","GOLD_sequencing_projectID","JGI_study","JGI_biosample","sample_type","has_paired_data","amplicon_target","F_primer","R_primer","geo_loc_name","GAZ_id","lat","lon","collection_date","NOAA_Site","env_broad_scale","env_local_scale","env_medium","keywords","depth","depth_sediment","depth_at_sampling_location","size_frac_low","size_frac_up","pH","temp","calcium","potassium","Phosphate","magnesium","ammonium","nitrate","diss_oxygen","conduc","secchi","turbidity","part_microcyst","diss_microcyst","ext_phyco","ext_microcyst","ext_Anatox","chlorophyl","tot_phos","diss_phosp","soluble_react_phosp","ammonia","Nitrate_Nitrite","nitrite","urea","part_org_carb","part_org_nitro","diss_org_carb","Col_DOM","H2O2","suspend_part_matter","suspend_vol_solid","microcystis_count","planktothrix_count","anabaena_D_count","cylindrospermopsis_count","ice_cover","chlorophyl_fluoresence","sampling_device","modified_or_experimental","is_isolate","is_blank_neg_control","is_mock_community_or_pos_control","samp_vol_we_dna_ext","filtration_duration","qPCR_total","qPCR_mcyE","qPCR_sxtA","silicate","tot_nit","tot_diss_nit","green_algae","bluegreen","diatoms","crypto","tot_microcyst_lcmsms","attenuation","transmission","par","sky","wave_height","wind_speed","sortchem","phyco_fluoresence","salinity","atmospheric_temp","particulate_cyl","orp","replicate_id","cyano_sonde","total_sonde","env_canada_site","site_number","env_Kenya_site","ammended_site_name","site_name_sitenumber","station_description","type","LH_classifier","Notes"
"1","samp_4307",TRUE,NA,"NSF_ASI_1_S1","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.1961","34.38861","6/25/22","","large freshwater lake biome [ENVO:00000891]","","","","5.4","","0.5","","","7.1","25.5","","","","","","34.9","5.61","146.4","0.8","10.1","","","","","","26.551",NA,NA,"43","53","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","windy and choppy, cold",NA,NA,"","",0.07,NA,NA,516,"A",20500000,75200000,"","7","Site 16 Nearshore R1","Asembo Bay","7. Asembo Bay","nearshore","Lake Victoria","Nearshore","clear water"
"2","samp_4308",TRUE,NA,"NSF_ASI_2_S2","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.1961","34.38861","6/25/22","","large freshwater lake biome [ENVO:00000891]","","","","5.4","","0.5","","","7.1","25.5","","","","","","34.9","5.61","146.4","0.8","10.1","","","","","","26.551",NA,NA,"43","53","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","windy and choppy, cold",NA,NA,"","",0.07,NA,NA,516,"B",20500000,75200000,"","7","Site 16 Nearshore R2","Asembo Bay","7. Asembo Bay","nearshore","Lake Victoria","Nearshore","clear water"
"3","samp_4309",TRUE,NA,"NSF_ASI_3_S3","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.2331","34.49639","6/25/22","","large freshwater lake biome [ENVO:00000891]","","","","6.8","","0.5","","","7.1","24.8","","","","","","26.1","6.9","140.02","0.9","14.1","","","","","","32.1825",NA,NA,"37.8","29.9","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","cool, sun emerging",NA,NA,"","",0.07,NA,NA,38.4,"A",13600000,22600000,"","8","Site 17 Mid-shore R1","Ndere Island","8. Ndere Island","midshore","Lake Victoria","Offshore","clear water that clogged filters quickly"
"4","samp_4310",TRUE,NA,"NSF_ASI_4_S4","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.2331","34.49639","6/25/22","","large freshwater lake biome [ENVO:00000891]","","","","6.8","","0.5","","","7.1","24.8","","","","","","26.1","6.9","140.02","0.9","14.1","","","","","","32.1825",NA,NA,"37.8","29.9","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","cool, sun emerging",NA,NA,"","",0.07,NA,NA,38.4,"B",13600000,22600000,"","8","Site 17 Mid-shore R2","Ndere Island","8. Ndere Island","midshore","Lake Victoria","Offshore","clear water that clogged filters quickly"
"5","samp_4311",TRUE,NA,"NSF_ASI_5_S5","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.2466","34.60327","6/25/22","","large freshwater lake biome [ENVO:00000891]","","","","6.8","","0.5","","","7.6","25","","","","","","32.1","7.17","144.7","0.8","14.5","","","","","","151.0665",NA,NA,"43.5","8.5","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","cool, sun emerging",NA,NA,"","",0.07,NA,NA,153.8,"A",12800000,23700000,"","9","Site 18 Offshore R1","Mid Gulf","9. Mid Gulf","offshore","Lake Victoria","Offshore","clear water with MC colonies"
"6","samp_4312",TRUE,NA,"NSF_ASI_6_S6","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.2466","34.60327","6/25/22","","large freshwater lake biome [ENVO:00000891]","","","","6.8","","0.5","","","7.6","25","","","","","","32.1","7.17","144.7","0.8","14.5","","","","","","151.0665",NA,NA,"43.5","8.5","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","cool, sun emerging",NA,NA,"","",0.07,NA,NA,153.8,"B",12800000,23700000,"","9","Site 18 Offshore R2","Mid Gulf","9. Mid Gulf","offshore","Lake Victoria","Offshore","clear water with MC colonies"
"7","samp_4313",TRUE,NA,"NSF_ASI_7_S7","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4155","34.20972","6/24/22","","large freshwater lake biome [ENVO:00000891]","","","","13","","0.5","","","7.4","25.5","","","","","","20.9","8.05","108.7","1.4","8.3","","","","","","130.021",NA,NA,"40.7","19.6","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.05,NA,NA,208.6,"A",1800000,7690000,"","5","Site 12 WC Diatoms R1","Mbita East","5. Mbita East","Whole water column diatoms","Lake Victoria","Near/Outside Rosinga Channel","Diatoms"
"8","samp_4314",TRUE,NA,"NSF_ASI_8_S8","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4155","34.20972","6/24/22","","large freshwater lake biome [ENVO:00000891]","","","","13","","0.5","","","7.4","25.5","","","","","","20.9","8.05","108.7","1.4","8.3","","","","","","130.021",NA,NA,"40.7","19.6","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.05,NA,NA,208.6,"B",1800000,7690000,"","5","Site 12 WC Diatoms R2","Mbita East","5. Mbita East","Whole water column diatoms","Lake Victoria","Near/Outside Rosinga Channel","Diatoms"
"9","samp_4315",TRUE,NA,"NSF_ASI_9_S9","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4155","34.20972","6/24/22","","large freshwater lake biome [ENVO:00000891]","","","","13","","0.5","","","7.4","25.5","","","","","","20.9","8.05","108.7","1.4","8.3","","","","","","130.021",NA,NA,"40.7","19.6","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.05,NA,NA,208.6,"A",1800000,7690000,"","5","Site 12 PN Diatoms R1","Mbita East","5. Mbita East","Plankton net Diatoms","Lake Victoria","Near/Outside Rosinga Channel","Diatoms"
"10","samp_4316",TRUE,NA,"NSF_ASI_10_S10","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4155","34.20972","6/24/22","","large freshwater lake biome [ENVO:00000891]","","","","13","","0.5","","","7.4","25.5","","","","","","20.9","8.05","108.7","1.4","8.3","","","","","","130.021",NA,NA,"40.7","19.6","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.05,NA,NA,208.6,"B",1800000,7690000,"","5","Site 12 PN Diatoms R2","Mbita East","5. Mbita East","Plankton net Diatoms","Lake Victoria","Near/Outside Rosinga Channel","Diatoms"
